id,gender,age,occupation,county_nbr,state_nbr
190,1,4,6,76,20
191,1,4,1,90,7
192,1,2,3,13,22
193,1,4,8,125,7
194,1,4,13,81,46
195,1,4,8,107,32
196,1,6,4,70,43
197,2,3,7,112,28
198,1,3,5,65,21
199,1,3,21,120,7
200,1,2,5,109,37
201,1,4,11,143,7
202,1,2,13,100,21
203,1,4,21,69,43
204,1,3,5,124,6
205,1,3,16,4,38
206,2,3,15,17,43
207,1,3,3,142,7
208,1,2,21,90,7
209,2,5,15,44,43
210,1,3,13,2,7
211,1,4,8,115,35
212,1,4,2,97,24
213,1,4,2,90,7
214,1,2,5,2,7
215,1,3,1,101,47
216,1,2,7,13,22
217,1,4,8,81,46
218,2,3,7,123,38
219,2,3,3,145,7
220,1,4,13,168,37
221,2,3,2,37,13
222,1,4,15,78,16
223,1,4,2,127,47
224,1,3,19,92,6
225,1,3,1,36,34
226,2,2,21,114,9
227,1,2,11,142,7
228,2,6,10,135,45
229,1,6,18,67,45
230,1,4,7,115,35
231,2,2,5,100,21
232,1,4,2,151,46
233,1,3,1,115,35
234,2,3,2,144,7
235,1,3,16,69,43
236,2,4,1,120,7
237,1,6,1,157,25
238,2,4,8,115,35
239,1,4,8,90,7
240,1,3,8,69,43
241,1,3,8,137,26
242,1,3,1,145,7
243,1,1,11,113,9
244,1,3,8,81,46
245,1,3,15,10,45
246,1,3,5,68,36
247,1,3,5,142,7
248,1,6,8,103,48
249,1,2,1,157,37
250,1,3,8,113,9
251,1,2,5,40,16
252,2,7,3,54,3
253,1,1,1,74,17
254,1,2,4,141,7
255,1,2,5,118,24
256,1,4,15,71,25
257,1,3,13,36,46
258,2,4,10,92,6
259,2,4,10,118,24
260,1,4,2,45,47
261,2,2,3,71,25
262,2,4,21,132,25
263,1,3,21,44,43
264,2,3,10,105,7
265,1,3,15,136,7
266,1,4,2,121,28
267,1,3,1,90,7
268,1,3,5,23,41
269,1,3,1,91,36
270,1,2,5,2,7
271,2,3,3,143,7
272,1,3,2,44,43
273,1,3,13,107,32
274,1,2,5,118,24
275,1,5,12,98,31
276,2,4,2,142,7
277,1,4,21,118,24
278,1,3,8,90,7
279,2,2,5,161,24
280,1,3,13,2,7
281,1,3,12,71,25
282,1,3,15,71,25
283,1,4,21,132,25
284,2,7,3,129,22
285,2,3,15,143,7
286,1,3,7,131,35
287,2,2,4,136,7
288,1,1,11,40,16
289,1,3,3,132,25
290,1,4,8,59,13
291,1,5,18,51,12
292,2,2,5,69,43
293,1,4,17,106,43
294,2,3,5,152,43
295,1,7,8,152,43
296,1,3,3,15,32
297,1,4,1,122,23
298,1,6,21,71,25
299,2,7,15,43,25
300,1,4,13,39,7
301,1,6,17,153,7
302,1,3,17,82,42
303,2,3,5,123,38
304,2,3,4,90,7
305,1,5,19,36,17
306,1,2,5,94,24
307,1,7,1,145,7
308,1,2,20,108,25
309,1,4,7,39,7
310,1,2,15,83,16
311,1,5,12,99,12
312,1,3,17,9,8
313,1,4,16,99,12
314,1,3,3,40,16
315,2,2,5,115,35
316,1,6,1,58,36
317,1,2,18,162,35
318,1,3,3,126,15
319,1,3,4,126,15
320,2,3,4,151,46
321,1,4,17,143,7
322,2,5,7,7,23
323,2,3,13,101,47
324,2,2,3,43,25
325,1,4,3,123,38
326,2,5,8,63,42
327,2,4,8,152,43
328,1,3,8,50,16
329,2,4,13,90,7
330,2,2,21,79,24
331,1,4,8,53,32
332,1,3,4,40,16
333,1,6,12,90,7
334,1,4,6,120,12
335,2,4,12,55,45
336,1,3,13,158,34
337,1,3,19,66,16
338,1,4,8,92,6
339,1,6,1,58,21
340,2,4,18,90,7
341,1,3,5,30,38
342,1,1,1,110,35
343,1,3,4,92,6
344,1,3,1,100,21
345,2,5,7,88,23
346,1,2,3,138,26
347,1,3,5,71,25
348,1,3,21,143,7
349,1,2,5,159,24
350,1,3,6,41,23
351,1,6,2,82,42
352,1,2,1,128,17
353,1,4,5,64,36
354,1,4,14,36,34
355,1,2,5,113,9
356,2,3,2,15,32
357,1,2,12,19,26
358,1,3,8,76,4
359,1,4,8,157,5
360,1,2,13,90,7
361,1,4,18,87,8
362,2,3,1,42,36
363,1,7,15,76,19
364,1,3,17,169,27
365,1,5,20,40,16
366,1,2,5,40,16
367,1,5,18,155,28
368,2,3,6,76,19
369,1,3,1,57,19
370,1,2,5,87,8
371,2,4,4,132,25
372,2,3,21,170,7
373,2,3,20,81,46
374,1,2,1,46,42
375,1,3,18,142,7
376,2,4,7,157,25
377,1,6,8,120,7
378,1,2,6,80,19
379,2,4,21,81,46
380,2,1,2,90,7
381,1,2,6,71,25
382,1,3,1,115,35
383,1,3,2,102,41
384,1,2,5,132,25
385,2,3,21,86,24
386,1,4,21,59,13
387,1,4,18,64,36
388,1,3,21,159,24
389,1,5,17,81,46
390,1,4,1,104,38
391,1,3,5,99,12
392,1,3,8,27,13
393,2,2,5,43,25
394,2,4,21,1,2
395,1,6,14,146,33
396,2,7,8,167,21
397,2,4,1,120,7
398,2,3,1,132,25
399,1,4,2,35,40
400,1,5,8,90,7
