id,gender,age,occupation,zip
157,1,4,17,12866
158,1,7,8,28754
159,2,5,1,37922
160,1,4,8,13021
161,1,5,17,98107
162,2,2,5,93117
163,1,2,5,85013
164,2,7,14,94566
165,1,2,17,98502
166,1,2,5,92802
167,2,3,12,10022
168,2,6,1,46970
169,1,3,8,55439
170,1,3,12,07002
171,2,6,18,55441
172,1,3,4,07661
173,1,3,1,45237
174,1,3,17,21203
175,2,3,3,95123
176,2,2,4,55016
177,1,6,2,54016
178,1,7,18,53705
179,1,3,1,02135
180,1,5,13,01603
181,1,2,18,33186
182,1,2,5,03052
183,2,5,2,55407
184,2,3,1,19001
185,1,5,1,14468
186,1,2,6,91767
187,2,5,2,94061
188,1,7,17,79930
189,1,2,1,60076
190,1,3,18,55125
191,1,2,5,04915
192,1,2,2,10977
193,2,5,16,44106
194,2,1,11,29146
195,1,3,13,10458
196,2,4,10,94587
197,1,2,15,10023
198,1,3,13,55108
199,1,2,5,83706
200,2,2,5,84321
201,2,4,3,55117
202,1,2,5,53706
203,2,2,5,53715
204,1,3,8,92123
205,1,4,13,97333
206,1,3,18,20194
207,1,3,13,94115
208,1,4,18,55432
209,1,4,2,90048
210,2,1,11,25801
211,1,5,18,90620
212,1,3,17,53714
213,2,2,5,01609
214,1,2,21,80218
215,1,4,15,92075
216,1,5,14,52761
217,1,2,5,22903
218,1,4,15,95822
219,2,3,5,55113
220,1,3,13,22903
221,2,3,1,94063
222,1,3,2,55116
223,1,3,18,28262
224,2,2,5,14850
225,1,3,8,11215
226,1,4,2,94518
227,1,4,21,90291
228,1,3,16,55455
229,1,2,11,04576
230,1,5,2,43210
231,1,3,4,55455
232,1,3,21,55408
233,2,5,21,37919
234,1,4,8,39652
235,1,3,1,98153
236,1,3,6,55126
237,1,3,7,46835
238,2,6,8,90291
239,1,2,20,94618
240,1,6,18,55113
241,1,4,21,55121
242,2,2,5,53706
243,1,3,17,11576
244,1,6,8,19072
245,1,4,17,66046
246,2,2,5,60625
247,1,3,18,94404
248,1,2,18,72703
249,2,2,15,48126
250,1,4,17,11229
251,1,7,18,55105
252,1,3,13,94112
253,2,3,12,97370
254,1,4,18,49015
255,1,4,1,85310
256,1,5,17,55076
257,1,2,19,55113
258,1,3,8,55436
259,1,3,2,60615
260,1,2,20,98126
261,1,3,21,75801
262,2,3,2,68503
263,2,3,8,22304
264,1,4,1,20755
265,2,4,8,55116
266,1,4,12,75229
267,1,5,13,55001
268,2,2,13,29708
269,1,3,3,55408
270,1,6,15,55414
271,1,2,5,48202
272,1,2,1,80302
273,1,2,5,55427
274,1,2,5,55455
275,1,3,1,48162
276,1,5,17,01982
277,2,4,2,98126
278,1,5,19,60482
279,1,3,15,91214
280,1,6,8,19118
281,2,4,1,94117
282,1,3,18,94401
283,1,3,1,10003
284,1,3,13,91910
285,2,4,1,94109
286,1,3,2,54601
287,1,6,14,94706
288,2,3,13,97119
289,2,3,1,11801
290,2,3,21,94591
291,1,4,13,55110
292,1,4,8,19406
293,1,7,2,55337
294,2,5,10,43147
295,1,2,1,80203
296,1,6,6,89432
297,1,2,3,97211
298,2,2,5,19010
299,1,3,13,97370
300,1,3,8,78664
301,1,2,5,61820
302,1,2,5,04901
303,1,3,8,20006
304,1,3,1,55414
305,2,2,1,55414
306,1,2,1,53051
307,1,6,17,90027
308,1,3,3,10025
309,1,3,5,16801
310,2,2,5,31207
311,1,2,5,31201
312,2,6,3,22207
313,2,2,5,02138
314,2,7,10,46911
315,2,7,2,55105
316,1,7,14,90740
317,1,4,8,38555
318,2,7,14,55104
319,2,6,7,33436
320,1,4,7,99516
321,1,2,5,55128
322,1,7,18,55117
323,1,5,13,53716
324,1,4,18,55106
325,2,6,4,55112
326,1,6,12,25302
327,1,4,19,55448
328,1,4,13,80401
329,1,4,8,02115
330,1,7,8,92065
331,1,3,8,55902
332,1,6,2,55109
333,1,4,3,55410
334,2,7,3,55113
335,1,4,19,55434
336,1,2,1,98765
337,1,2,20,80205
338,1,4,8,55116
339,1,6,8,80207
340,2,3,4,28001
341,2,7,14,92119
342,1,2,13,55076
343,2,4,4,55127
344,1,4,15,75034
345,1,3,13,94114
346,2,3,1,55110
347,2,7,2,55305
348,1,6,8,55110
349,1,1,11,08035
350,1,5,21,08035
351,1,2,5,55105
352,1,2,5,60115
353,2,4,8,92625
354,1,4,2,55117
355,1,2,4,55107
356,1,7,21,55101
357,1,2,1,98103
358,2,7,2,20815
359,1,3,18,55128
360,1,4,18,28208
361,2,3,15,94115
362,1,4,21,55407
363,1,2,11,55419
364,2,4,2,46815
365,2,2,5,02138
366,1,6,16,55126
367,1,6,13,55421
368,1,3,1,90293
369,1,4,2,55110
370,1,2,18,22304
371,1,2,5,02141
372,2,2,5,72227
373,2,3,3,55347
374,2,4,15,55346
375,1,3,3,55106
376,1,4,2,80026
377,1,3,18,55418
378,2,2,1,55105
379,2,4,2,54822
380,1,3,3,92024
381,1,4,18,89015
382,2,4,21,66205
383,2,3,8,78757
384,1,3,12,55075
385,1,3,7,68131
386,1,3,1,55408
387,2,4,8,55111
388,2,3,1,10021
389,1,3,7,68128
390,1,3,5,55405
391,1,5,12,22122
392,1,2,8,20037
393,1,4,18,55402
394,1,2,1,55013
395,1,2,6,55104
396,1,3,2,56187
397,1,4,18,22124
398,1,3,18,55454
399,2,4,7,55128
400,2,2,4,55422
401,1,2,1,55129
402,1,3,12,55427
403,1,2,5,02138
404,1,2,5,10128
405,1,7,2,13077
406,1,3,21,55105
407,1,2,18,89503
408,1,3,12,02143
409,1,2,13,55122
410,2,3,2,55417
411,2,5,2,43214
412,1,4,16,55117
413,1,3,12,55409
414,1,3,1,55317
415,2,4,1,55406
416,1,5,15,55076
417,2,3,1,50613
418,2,3,4,54016
419,1,2,4,55422
420,1,4,2,55406
421,2,5,4,55125
422,1,7,18,55104
423,1,2,5,55455
424,1,3,18,55112
425,1,3,13,55303
426,1,2,5,55455
427,1,4,13,55104
428,2,2,5,55455
429,1,2,1,54901
430,2,2,11,55306
431,1,2,11,55303
432,1,5,17,55306
433,1,6,7,55115
434,2,5,4,98155
435,1,3,8,55125
436,1,2,5,43023
437,1,4,18,55030
438,1,2,12,53705
439,1,4,15,55129
440,1,7,2,32940
441,1,4,2,55127
442,1,3,2,55105
443,1,3,4,55421
444,1,7,1,55108
445,1,5,13,55117
446,2,6,1,55042
447,2,5,12,55105
448,1,3,18,80123
449,1,3,8,85037
450,1,5,2,24523
451,1,7,14,54720
452,1,6,18,55117
453,1,2,5,55102
454,1,3,21,55092
455,2,4,3,55113
456,1,4,1,55105
457,1,2,5,54703
458,1,6,17,55405
459,2,2,5,55105
460,1,5,19,55313
461,1,6,8,55075
462,1,2,17,55416
463,1,3,8,55105
464,2,2,5,55455
465,1,2,20,94523
466,1,3,6,55405
467,2,4,4,55075
468,2,1,11,55082
469,1,4,7,55122
470,2,1,11,55068
471,1,4,8,08904
472,1,4,1,55418
473,2,2,5,55112
474,1,3,18,92126
475,2,3,3,55421
476,1,4,1,55127
477,1,4,15,55410
478,1,6,17,55113
479,1,3,13,55042
480,2,2,5,55422
481,1,5,8,55115
482,1,3,15,55305
483,1,2,13,55105
484,2,1,11,55104
485,1,7,8,55042
486,1,7,1,91367
487,2,4,18,55082
488,1,3,13,55107
489,1,2,5,55455
490,1,1,11,55345
491,1,2,5,56043
492,1,3,13,55112
493,1,6,8,55016
494,2,4,1,17870
495,1,2,11,55421
496,1,2,5,55455
497,2,3,18,55412
498,1,4,18,55113
499,2,3,2,55108
500,2,2,3,55105
501,1,3,3,55372
502,1,4,7,55126
503,1,4,12,73120
504,1,3,3,17003
505,1,4,18,37815
506,1,3,17,55103
507,2,3,1,55405
508,1,3,13,55418
509,1,3,3,55125
510,1,2,13,55109
511,2,5,5,15232
512,1,4,1,55379
513,1,3,1,55119
514,1,3,3,55113
515,1,3,2,55406
516,2,7,15,55033
517,2,3,15,55408
518,2,4,13,75240
519,2,4,15,55038
520,2,4,21,55104
521,1,7,8,55105
522,1,3,13,55124
523,1,6,8,55105
524,1,2,1,91320
525,1,4,7,19027
526,1,5,18,94806
527,2,3,3,11201
528,2,2,18,83843
529,1,4,13,92009
530,1,3,3,10019
531,2,2,15,22206
532,1,3,8,94301
533,1,3,13,27514
534,1,3,16,55902
535,1,4,7,95370
536,1,3,21,01267
537,1,5,15,07704
538,1,7,17,95407
539,1,3,3,55103
540,1,2,2,15213
541,2,2,5,58495
542,1,2,5,78705
543,1,3,6,55057
544,1,4,13,94538
545,1,4,18,01890
546,2,3,1,37211
547,1,4,13,76109
548,2,4,17,96860
549,1,3,7,53217
550,1,5,9,21559
551,1,4,21,55116
552,1,6,19,23456
553,1,3,3,94131
554,1,3,13,94086
555,1,2,5,53213
556,2,3,10,37221
557,1,7,2,30030
558,1,4,21,55108
559,2,3,8,60422
560,1,5,16,81335
561,2,2,15,64060
562,1,4,21,48083
563,1,3,5,53703
564,1,5,2,49419
565,1,3,17,45242
566,1,3,18,92122
567,1,4,21,52570
568,2,6,18,19716
569,2,2,5,97339
570,1,3,5,33314
571,1,6,6,95401
572,1,2,5,61801
573,2,4,3,98119
574,1,3,20,90214
575,1,3,13,92130
576,2,5,16,20910
577,1,4,1,02115
578,1,2,18,90064
579,1,3,6,32839
580,1,1,11,08534
581,1,6,15,73543
582,1,2,5,67042
583,2,3,1,48067
584,2,3,1,94403
585,1,2,2,53703
586,1,4,15,53092
587,1,3,21,92649
588,2,3,12,23220
589,1,2,3,90210
590,2,4,7,98032
591,1,3,1,76201
592,1,2,1,92103
593,2,6,2,91711
594,2,7,14,60076
595,1,3,8,10019
596,2,3,2,01950
597,1,4,13,80206
598,1,4,8,95476
599,1,6,7,53711
600,1,4,18,66209
601,2,2,21,06320
602,2,7,7,14612
603,2,3,7,32256
604,1,5,18,32256
605,2,2,5,44425
606,2,1,11,49507
607,1,3,1,43614
608,1,2,5,18011
609,1,3,8,10012
610,1,3,5,77025
611,1,4,1,20715
612,1,6,8,95020
613,1,4,21,10562
614,1,4,2,90024
615,1,6,18,32951
616,1,3,8,94115
617,2,3,8,92117
618,1,3,1,74105
619,2,2,2,94706
620,1,2,1,13210
621,1,2,5,93560
622,1,3,1,92612
623,1,3,18,60555
624,1,3,2,75207
625,2,4,13,44106
626,1,2,5,77005
627,1,6,3,97210
628,2,4,1,20715
629,2,1,11,48154
630,2,4,15,80525
631,1,4,18,28601
632,1,5,18,07649
633,1,3,18,94131
634,2,1,11,49512
635,1,7,18,33785
636,1,2,21,92055
637,1,4,13,97132
638,1,3,7,77584
639,1,5,18,85202
640,1,2,5,47406
641,2,4,1,55116
642,2,4,2,78155
643,1,3,3,23188
644,1,3,21,93704
645,1,4,21,11215
646,1,4,8,08505
647,1,4,13,85224
648,2,3,13,94131
649,1,3,5,80526
650,1,3,18,49445
651,1,4,8,20895
652,1,2,21,12222
653,1,7,14,92660
654,1,6,8,75023
655,2,3,3,92629
656,2,5,17,92106
657,2,6,14,34691
658,2,3,1,10021
659,2,3,1,28134
660,1,5,17,70507
661,1,5,2,13114
662,1,2,5,99163
663,2,3,8,12345
664,1,4,19,74601
665,1,2,3,13317
666,2,2,1,08540
667,1,3,19,98438
668,2,3,4,22042
669,1,3,18,30307
670,1,3,13,30303
671,1,2,5,61761
672,1,4,8,46845
673,1,3,21,10023
674,1,3,18,22042
675,1,3,21,02048
676,1,2,17,55129
677,1,6,3,94122
678,1,3,1,34952
679,1,4,17,29681
680,1,3,13,37013
681,1,4,8,30501
682,1,3,5,27510
683,1,3,5,27514
684,1,3,5,27510
685,1,3,5,27514
686,1,2,5,27514
687,2,3,8,14136
688,1,7,14,13407
689,2,6,1,48103
690,1,3,13,90717
691,1,4,12,96813
692,2,3,1,85207
693,1,4,13,98103
694,1,2,5,76401
695,2,2,2,04240
696,1,3,13,94114
697,2,6,7,97330
698,1,2,5,76401
699,1,2,1,73505
700,1,6,18,14650
701,2,2,5,01002
702,1,4,8,90808
703,2,7,2,44074
704,2,4,9,85712
705,1,3,5,48065
706,1,4,21,78664
707,1,4,8,17740
708,1,3,1,37042
709,1,2,1,92647
710,1,3,21,85207
711,1,3,19,80521
712,1,3,1,95136
713,1,4,8,79912
714,1,2,5,76013
715,1,2,1,53715
716,1,2,5,98188
717,1,3,12,90211
718,1,2,3,90211
719,1,1,1,75070
720,1,2,1,55129
721,2,4,10,97520
722,1,3,13,55106
723,1,3,13,98027
724,1,6,14,90266
725,1,7,12,08904
726,2,3,10,77449
727,1,4,12,94061
728,1,3,7,11598
729,1,4,13,85284
730,1,3,1,10580
731,1,5,4,55410
732,1,3,8,07030
733,1,4,17,30034
734,1,3,8,90078
735,1,3,15,04240
736,1,2,13,07070
737,1,1,20,53711
738,1,2,18,99205
739,1,4,13,55803
740,1,3,15,24551
741,1,3,6,44095
742,1,2,1,54758
743,2,1,3,60660
744,1,3,18,77007
745,1,1,11,90004
746,2,2,20,95019
747,1,2,5,98606
748,1,3,1,60098
749,1,4,19,56303
750,2,4,10,13066
751,2,3,18,97201
752,2,3,4,97401
753,1,1,11,42754
754,1,4,8,38024
755,2,4,1,94002
756,1,4,1,90064
757,1,3,13,97401
758,1,4,8,19518
759,2,7,4,89156
760,1,7,16,94114
761,1,2,8,99945
762,1,1,11,63041
763,1,2,11,02882
764,1,2,21,85296
765,1,3,18,74467
766,2,3,8,95128
767,1,3,13,45241
768,1,3,13,17067
769,1,5,18,02421
770,1,2,5,98499
771,2,6,2,75087
772,1,2,13,89118
773,1,3,7,48108
774,1,2,5,22903
775,1,1,18,56258
776,2,3,4,92627
777,1,2,20,87543
778,1,2,18,32694
779,1,3,1,60156
780,1,3,18,91776
781,1,2,5,95076
782,1,7,2,28223
783,1,3,5,53703
784,1,2,1,11040
785,1,2,20,29307
786,1,3,1,55987
787,1,2,5,77802
788,1,3,1,37601
789,1,2,2,67212
790,1,3,18,45694
791,1,4,8,27511
792,1,3,18,01002
793,2,4,15,37043
794,1,6,21,10543
795,2,4,15,19147
796,1,6,7,98237
797,2,6,8,20175
798,2,3,21,48464
799,2,3,6,98498
800,2,4,13,72032
801,2,3,21,95776
802,1,3,17,22801
803,1,2,5,67217
804,1,3,21,90032
805,1,4,13,37211
806,1,4,1,34990
807,1,2,5,89015
808,1,3,8,85226
809,1,3,18,70508
810,1,3,13,98006
811,1,6,1,94043
812,1,3,7,37930
813,1,2,5,70002
814,2,2,5,92612
815,1,3,5,37130
816,1,5,1,92108
817,1,2,5,41076
818,1,2,5,60107
819,1,4,8,60611
820,1,4,8,78759
821,1,2,3,14456
822,2,3,2,07666
823,1,3,1,92078
824,1,4,13,94530
825,1,7,2,39532
826,2,4,2,80210
827,1,5,3,55409
828,1,2,5,70817
829,1,1,20,53711
830,1,4,8,60657
831,2,5,1,20874
832,1,2,3,19464
833,1,4,8,46825
834,2,4,13,78640
835,1,7,1,94952
836,1,3,12,10023
837,1,7,8,08540
838,1,6,18,92661
839,1,3,1,98103
840,2,3,4,02828
841,2,6,15,92119
842,2,2,1,55102
843,1,3,8,49321
844,1,3,1,92121
845,2,2,1,20009
846,1,3,6,80209
847,2,3,8,80228
848,1,3,16,94121
849,1,3,4,75006
850,1,4,1,60640
851,1,2,5,75287
852,1,3,6,92105
853,1,3,18,55447
854,2,3,17,44092
855,2,2,3,72701
856,2,5,7,02453
857,1,4,18,11701
858,1,4,15,10013
859,1,3,13,10128
860,1,2,1,78237
861,1,3,8,37027
862,1,4,8,10019
863,1,3,8,62522
864,2,3,1,97205
865,1,4,2,91711
866,1,1,11,08820
867,1,5,13,95814
868,1,6,18,01702
869,1,2,21,92026
870,2,3,2,02144
871,1,1,11,76013
872,1,6,2,20815
873,1,7,7,19027
874,1,5,16,26105
875,1,1,11,94707
876,1,3,5,43202
877,1,3,1,90631
878,1,2,3,01720
879,1,5,17,92018
880,1,4,18,94114
881,1,2,15,76401
882,1,2,3,01720
883,2,4,15,92673
884,1,1,11,49454
885,1,4,1,48105
886,2,7,1,14830
887,2,7,17,55345
888,2,1,11,08820
889,1,5,21,10024
890,1,2,5,92153
891,1,3,2,80202
892,1,4,1,76031
893,2,6,7,85016
894,1,2,5,31602
895,1,6,2,34683
896,1,2,16,94015
897,1,3,7,92130
898,1,3,8,77005
899,2,3,2,30605
900,2,7,14,90066
901,2,7,1,92027
902,1,7,1,45432
903,1,7,14,75165
904,1,4,21,92308
905,2,5,13,28655
906,1,1,11,71106
907,2,5,7,92117
908,2,6,2,92103
909,1,5,8,92831
910,2,6,1,98226
911,1,6,1,98226
912,2,4,3,91324
913,1,3,1,20744
914,2,4,10,30338
915,1,3,8,72762
916,2,3,2,92084
917,1,6,7,92117
918,2,5,2,91901
919,2,4,2,92056
920,1,2,5,92173
921,1,3,18,92084
922,1,7,17,48009
923,1,3,8,37212
924,1,6,18,98642
925,2,4,4,48073
926,1,1,11,07869
927,2,3,21,91105
928,2,7,17,98199
929,1,3,16,53706
930,1,3,6,98380
931,2,7,2,06032
932,2,4,7,97838
933,1,5,2,49419
934,2,4,8,97401
935,1,4,15,60538
936,1,2,5,34567
937,1,3,16,60513
938,2,3,2,01060
939,2,3,21,20110
940,1,1,11,76240
941,1,2,21,45387
942,2,6,7,85716
943,2,5,13,08033
944,1,4,1,91505
945,1,5,8,49345
946,1,4,8,48103
947,1,2,1,21015
948,1,7,13,43056
949,1,6,18,96753
950,1,4,8,21044
951,1,5,3,10009
952,1,7,17,97478
953,1,6,21,97030
954,2,3,1,21030
955,2,6,8,94941
956,1,4,2,55104
957,1,4,2,29706
958,1,4,3,48116
959,1,6,12,44622
960,1,1,11,45244
961,1,2,11,10016
962,2,3,2,80020
963,1,3,1,48197
964,1,3,8,94123
965,1,7,8,10954
966,1,7,3,92262
967,2,2,1,43615
968,1,6,13,94530
969,2,3,12,19103
970,1,3,1,27615
971,1,3,13,43615
972,1,5,2,02138
973,2,3,2,80026
974,1,4,20,94930
975,1,4,1,98136
976,1,4,15,89113
977,1,3,3,80110
978,1,2,1,19116
979,1,1,11,48073
980,1,3,7,92014
981,1,3,21,02141
982,2,3,10,92064
983,2,3,17,99224
984,1,6,17,92129
985,1,3,5,32608
986,2,7,1,19004
987,2,4,18,48098
988,1,6,12,48823
989,1,6,1,20706
990,1,2,7,10004
991,2,3,10,48103
992,2,4,4,02780
993,1,3,1,45678
994,1,2,3,92109
995,2,2,5,96803
996,1,3,18,98102
997,1,1,20,15748
998,1,5,21,10019
999,1,3,16,62558
1000,2,3,7,90027
1001,1,3,5,90210
1002,1,6,12,07043
1003,1,3,3,19320
1004,1,3,4,95136
1005,1,4,12,08003
1006,1,2,5,53220
1007,1,6,13,01960
1008,1,4,4,77064
1009,1,6,8,48315
1010,1,3,1,10310
1011,1,3,9,92115
1012,2,4,2,30004
1013,1,7,14,02576
1014,2,5,18,03054
1015,1,4,4,11220
1016,1,7,17,60044
1017,1,4,1,30906
1018,1,2,5,95616
1019,1,4,2,60640
1020,1,2,21,93455
1021,1,4,1,94559
1022,1,3,4,00918
1023,1,7,14,92675
1024,2,4,2,74135
1025,1,3,17,34677
1026,2,5,1,19130
1027,1,2,5,77005
1028,2,5,8,03848
1029,1,3,1,20015
1030,1,3,8,97303
1031,1,4,17,19803
1032,1,6,17,19425
1033,1,3,6,60076
1034,2,4,2,82601
1035,1,2,3,15956
1036,1,4,8,28036
1037,1,5,8,02081
1038,2,7,16,20194
1039,2,4,2,02346
1040,1,3,12,76309
1041,1,5,3,94306
1042,1,4,6,92801
1043,2,6,12,87004
1044,1,3,21,72701
1045,2,1,11,77477
1046,1,7,19,53404
1047,1,2,1,62225
1048,1,4,7,75225
1049,1,5,15,95002
1050,1,3,2,97302
1051,2,3,1,60513
1052,2,4,3,75214
1053,1,4,1,18360
1054,1,1,11,75040
1055,1,4,1,91505
1056,1,1,1,48133
1057,1,5,18,73069
1058,1,3,2,97321
1059,2,3,1,97213
1060,1,2,11,11235
1061,1,5,1,46060
1062,1,6,20,59457
1063,1,4,8,50265
1064,1,3,8,91344
1065,2,3,1,94402
1066,1,5,13,02151
1067,1,4,13,94402
1068,2,2,5,77581
1069,1,3,21,98105
1070,2,5,3,20036
1071,1,6,17,13045
1072,2,4,8,07601
1073,2,3,7,72211
1074,1,5,18,48073
1075,2,3,7,60660
1076,2,3,4,27606
1077,1,3,4,60660
1078,2,5,10,95661
1079,1,3,8,98115
1080,1,7,8,08854
1081,1,2,5,68144
1082,1,5,8,48170
1083,1,7,1,27705
1084,1,1,20,03226
1085,1,3,8,34695
1086,1,2,5,98225
1087,1,3,17,08826
1088,2,1,11,98103
1089,1,4,7,37853
1090,1,3,8,94105
1091,1,2,6,34556
1092,2,2,5,49525
1093,1,6,15,60504
1094,2,2,1,92626
1095,2,7,7,08753
1096,1,1,11,80439
1097,1,2,18,92109
1098,1,4,8,94945
1099,1,3,18,77059
1100,1,3,1,60090
1101,1,4,2,06417
1102,1,2,2,55408
1103,2,5,8,60605
1104,1,4,12,10023
1105,1,4,7,48105
1106,1,2,5,90241
1107,2,6,2,02324
1108,1,7,2,93003
1109,1,2,11,45904
1110,2,7,7,77005
1111,2,6,17,44319
1112,1,2,7,19104
1113,1,2,5,97215
1114,2,2,10,75801
1115,2,3,2,60551
1116,1,3,16,92121
1117,1,2,15,10017
1118,1,6,14,02718
1119,1,4,2,90504
1120,1,2,5,95616
1121,1,7,8,78701
1122,1,7,15,02632
1123,1,6,1,91789
1124,1,3,3,60156
1125,2,2,5,53715
1126,1,7,17,13031
1127,1,3,1,11788
1128,1,3,2,72701
1129,1,4,18,22309
1130,1,2,8,60012
1131,1,7,14,12570
1132,1,2,13,98225
1133,1,2,3,90038
1134,1,2,21,19114
1135,1,6,14,98201
1136,2,4,8,90274
1137,1,2,5,13165
1138,1,2,13,12047
1139,1,3,2,93420
1140,2,5,3,73069
1141,2,3,4,84770
1142,1,2,2,43623
1143,1,6,8,94024
1144,1,3,8,94025
1145,1,6,4,92103
1146,2,2,17,80260
1147,1,3,21,98101
1148,1,4,18,92618
1149,1,3,13,98103
1150,2,3,21,75226
1151,1,3,16,46805
1152,1,2,5,30328
1153,1,2,11,33024
1154,2,1,11,53545
1155,1,3,13,90278
1156,2,6,3,33334
1157,1,5,8,30253
1158,2,4,2,98026
1159,1,2,1,48314
1160,1,2,15,07017
1161,1,3,1,10025
1162,2,4,1,97213
1163,1,1,11,70448
1164,2,3,20,90020
1165,1,3,13,45014
1166,1,7,7,94030
1167,2,6,2,55126
1168,2,3,1,94109
1169,1,3,21,94402
1170,1,7,4,10023
1171,1,5,13,94114
1172,2,3,1,61801
1173,2,3,8,10019
1174,2,2,17,91780
1175,2,3,3,90020
1176,1,7,2,44256
1177,2,3,18,01453
1178,1,7,1,48186
1179,1,6,2,91030
1180,2,6,21,95503
1181,1,4,8,20716
1182,1,1,11,91326
1183,1,4,20,94598
1184,2,3,5,92354
1185,2,4,2,97374
1186,1,2,20,98502
1187,2,1,1,90210
1188,1,5,8,72212
1189,1,3,1,85712
1190,1,5,1,98031
1191,2,4,1,98117
1192,1,6,17,98103
1193,1,3,13,90712
1194,2,3,2,95617
1195,2,1,11,13907
1196,2,2,15,22203
1197,1,4,2,44077
1198,1,1,11,49544
1199,1,6,14,77459
1200,1,1,1,97222
1201,1,2,5,84112
1202,1,4,13,97006
1203,2,3,2,06417
1204,1,3,8,95076
1205,2,7,1,46814
1206,2,6,8,33764
1207,1,6,1,43617
1208,1,3,1,12590
1209,1,4,8,94127
1210,1,3,18,27519
1211,1,2,5,10027
1212,2,6,2,60089
1213,1,6,1,91505
1214,1,7,14,94558
1215,1,4,18,23602
1216,1,3,3,90292
1217,1,3,13,94118
1218,1,7,16,13207
1219,1,3,8,12206
1220,1,1,11,48073
1221,1,2,1,19134
1222,1,4,1,52162
1223,1,3,3,60102
1224,1,6,14,02125
1225,1,5,8,61081
1226,1,2,21,07087
1227,1,6,2,90027
1228,1,3,2,94720
1229,2,3,5,48219
1230,1,3,12,95125
1231,1,3,13,60515
1232,2,2,5,43235
1233,2,5,21,94519
1234,1,2,5,91006
1235,2,3,8,94043
1236,2,3,2,48316
1237,1,2,5,32720
1238,2,4,21,11215
1239,2,3,21,50111
1240,2,2,15,02144
1241,1,1,11,11803
1242,2,4,1,10014
1243,1,4,16,92627
1244,1,3,5,22030
1245,1,3,18,80461
1246,1,2,5,98225
1247,1,4,1,92649
